rating_category_name,rating_category_group
Greeting,Greeting
Closing,Closing
Solution offered,Solution
Spelling & Grammar,Spelling & Grammar
Tone,Tone
Empathy,Empathy
AutoEmpathy,Empathy
AutoGreeting,Greeting
AutoGrammar,Spelling & Grammar
AutoClosing,Closing
Spellies and grammies,Spelling & Grammar
Greeting 2,Greeting
AIpie,AIpie
Empathy AutoQA,Empathy
Greeting AutoQA,Greeting
Autoqa test,Test
Grammar,Spelling & Grammar
Empathy/Tone,Empathy
Empathy Empathy Empathy Empathy Empathy Empathy Empathy Empathy Empathy Empathy,Empathy
Grammar Grammar Grammar Grammar Grammar Grammar Grammar,Spelling & Grammar
Grammar (1),Spelling & Grammar
Greeting Greeting Greeting Greeting Greeting Greeting Greeting Greeting Greeting,Greeting
Solution,Solution
AutoReadability,Readability
Raido readability,Readability
Product knowledge,Product knowledge
AutoTone,Tone
AutoSolution,Solution
GDPR,GDPR
Product,Product knowledge
Knowledge base,Knowledge base
critical Solution,Solution
Cat gifs,Test
Purr for,Test
Autoqa test,Test
